ClaimNumber,DateOfService,DateOfClaim,SettlementDate,ClaimDescription,ClaimAmount,ClaimStatus,ParticipantSSN,ContractNumber
CLM-2957-302724,11/12/2013,10/21/2023,6/4/2016,Hemophilia factor replacement therapy,48770442.29,Partially Approved,113-76-0156,CNT-CDP-8132-693
CLM-0794-729497,8/23/2021,9/28/2022,11/12/2022,Chronic fatigue syndrome assessment,5739166.66,Approved,255-12-4126,CNT-CDP-1981-727
CLM-7172-014970,9/16/2014,2/5/2017,10/22/2018,Sickle cell anemia pain management,83519739.76,Denied,510-68-2112,CNT-CDP-9035-841
CLM-1104-150396,9/25/2016,7/20/2022,2/20/2021,Atrial fibrillation anticoagulation check,92814181.3,In Appeal,545-79-3431,CNT-CDP-1350-212
CLM-6282-073542,8/22/2012,8/18/2014,1/2/2020,Hypertension medication adjustment,63752126.3,Paid,569-95-9868,CNT-CDP-0059-008
CLM-5277-117265,6/6/2013,2/28/2016,11/27/2019,Routine diabetes management check-up,39649628.01,Partially Approved,374-06-8004,CNT-CDP-6738-069
CLM-0613-975322,3/27/2021,6/28/2023,10/5/2023,Prostate cancer PSA level check,98732164.97,In Review,430-56-3360,CNT-CDP-6342-343
CLM-0951-628348,9/16/2017,8/31/2021,11/27/2017,Bipolar disorder medication adjustment,99918996.24,Paid,888-06-9666,CNT-CDP-6833-954
CLM-6121-115503,3/15/2020,3/3/2023,6/21/2023,Thyroid hormone level check for hypothyroidism,28007762.96,Submitted,430-21-8331,CNT-CDP-9195-527
CLM-9020-356710,1/25/2012,10/14/2021,3/4/2023,Crohn's disease nutritional counseling,39431609.38,Pending Additional Information,757-03-2668,CNT-CDP-6054-010
CLM-6668-049906,11/25/2020,8/8/2021,8/23/2022,Sjogren's syndrome dry eye treatment,26376298.62,Pending Additional Information,200-86-9508,CNT-CDP-3703-412
CLM-7608-935273,12/30/2014,7/3/2024,11/24/2015,Osteoarthritis joint injection,30566662.05,Reopened,139-42-9802,CNT-CDP-4859-759
CLM-7227-059315,4/3/2016,11/20/2018,11/10/2022,COPD exacerbation treatment,5391075.67,Approved,795-07-6159,CNT-CDP-2125-864
CLM-4555-841033,5/21/2016,4/1/2018,8/1/2017,Routine diabetes management check-up,75613504.44,Partially Approved,258-88-6017,CNT-CDP-6110-946
CLM-3651-509994,6/17/2012,12/31/2015,2/12/2024,Lupus flare-up management,13173703.36,Submitted,649-32-4460,CNT-CDP-0377-990
CLM-3156-892922,6/12/2016,7/9/2018,1/7/2023,Sickle cell anemia pain management,97928429.55,Approved,771-80-8654,CNT-CDP-5029-871
CLM-6355-033309,11/9/2010,3/19/2013,7/19/2016,Obesity management and counseling,21554128.66,Partially Approved,244-82-1895,CNT-CDP-5729-354
CLM-0832-259290,4/7/2013,11/5/2022,3/2/2022,Multiple sclerosis neurological exam,96772990.81,Partially Approved,243-95-9075,CNT-CDP-3173-410
CLM-9521-003552,1/21/2018,3/17/2021,6/16/2020,Sleep apnea CPAP adjustment,42675592.74,Denied,809-97-4099,CNT-CDP-6674-789
CLM-9916-608937,3/4/2018,4/20/2020,6/21/2021,Chronic kidney disease dialysis session,54978387.27,Paid,839-36-5416,CNT-CDP-6368-860
CLM-1068-207813,5/9/2013,3/29/2019,4/21/2020,Routine diabetes management check-up,13752404.17,Denied,498-97-8653,CNT-CDP-5160-021
CLM-9233-003395,7/23/2015,1/12/2019,10/16/2020,Peripheral artery disease circulation check,41204895.21,Approved,432-51-0861,CNT-CDP-4229-595
CLM-3594-057438,3/20/2011,10/15/2019,8/2/2023,Crohn's disease nutritional counseling,47856161.27,Denied,317-65-8363,CNT-CDP-1544-181
CLM-7176-497644,7/6/2020,9/30/2023,5/24/2023,Hepatitis C antiviral therapy follow-up,25169810.92,In Appeal,694-27-9977,CNT-CDP-8349-877
CLM-1891-559588,11/29/2017,5/12/2023,3/4/2019,Celiac disease nutritional consultation,99019148.9,Denied,497-54-9234,CNT-CDP-8986-905
CLM-2951-837704,8/18/2019,7/10/2022,3/11/2024,Hypertension medication adjustment,46862312.86,Paid,306-52-2146,CNT-CDP-3811-772
CLM-7394-243464,5/27/2019,8/28/2021,9/8/2019,Thyroid hormone level check for hypothyroidism,65131299.6,Denied,513-63-4398,CNT-CDP-8773-043
CLM-6131-500075,1/31/2019,1/5/2021,3/15/2022,Epilepsy medication level monitoring,35071300.17,Pending Additional Information,340-98-1735,CNT-CDP-1701-925
CLM-5784-845373,3/20/2020,11/22/2021,4/20/2020,Chronic fatigue syndrome assessment,87319553.91,Approved,562-33-4807,CNT-CDP-7771-542
CLM-1003-517610,8/25/2017,12/5/2017,1/9/2021,Thyroid hormone level check for hypothyroidism,75384255.25,Submitted,615-72-5769,CNT-CDP-2211-144
CLM-7285-105976,11/19/2012,12/14/2015,3/3/2018,HIV viral load testing,41892972.65,Reopened,697-77-4848,CNT-CDP-6382-954
CLM-5900-833731,5/21/2014,3/4/2021,10/18/2017,Prostate cancer PSA level check,24118859.44,In Appeal,813-95-7146,CNT-CDP-9229-908
CLM-7572-143481,2/5/2019,6/23/2024,2/1/2024,Sickle cell anemia pain management,12119216.94,Reopened,754-59-4751,CNT-CDP-9415-635
CLM-5220-098562,10/21/2010,4/20/2014,9/3/2015,Hepatitis C antiviral therapy follow-up,51790657.34,Pending Additional Information,430-67-5650,CNT-CDP-2750-612
CLM-1839-859821,4/21/2011,4/7/2017,1/27/2021,Chronic fatigue syndrome assessment,83368304.54,Pending Additional Information,735-94-2574,CNT-CDP-2185-653
CLM-9473-231477,8/31/2016,10/4/2019,6/22/2022,Schizophrenia antipsychotic injection,59945347.35,In Appeal,827-06-0064,CNT-CDP-4996-479
CLM-3123-552444,11/24/2016,11/2/2020,12/26/2023,Sickle cell anemia pain management,37249751.38,Reopened,549-56-8950,CNT-CDP-2401-771
CLM-0357-283869,12/19/2018,6/23/2021,7/17/2023,Rheumatoid arthritis joint assessment,44998976.97,Submitted,534-11-8770,CNT-CDP-4667-329
CLM-1513-535816,6/26/2011,2/19/2021,5/4/2013,Obesity management and counseling,99737939.35,In Review,586-58-0383,CNT-CDP-6844-322
CLM-9434-029822,5/29/2017,7/2/2024,7/15/2017,Osteoarthritis joint injection,26105782.97,Partially Approved,622-21-0820,CNT-CDP-0272-472
CLM-2223-494115,10/25/2017,12/13/2017,4/28/2024,Endometriosis pain management,87630345.11,In Appeal,338-66-7457,CNT-CDP-8303-782
CLM-2474-744814,9/14/2012,10/5/2017,3/2/2022,Parkinson's disease tremor assessment,63693040.17,Denied,778-79-0232,CNT-CDP-4874-503
CLM-2887-076565,8/5/2011,11/10/2013,12/2/2018,Leukemia blood count monitoring,80711548.97,Paid,121-66-8807,CNT-CDP-9534-381
CLM-7648-879292,12/6/2020,3/11/2023,12/20/2020,Congestive heart failure fluid balance check,45031681.19,In Review,689-42-0811,CNT-CDP-8064-734
CLM-6822-626150,9/10/2016,7/20/2020,3/25/2019,Ulcerative colitis colonoscopy,29220836.74,Reopened,463-85-0037,CNT-CDP-7652-991
CLM-4564-369878,1/23/2016,4/23/2019,5/31/2016,Hypertension medication adjustment,69033268.06,Paid,498-99-7856,CNT-CDP-2895-185
CLM-5575-893027,8/23/2021,3/18/2023,3/28/2024,Chronic fatigue syndrome assessment,46276193.87,In Appeal,242-89-3457,CNT-CDP-8443-242
CLM-4142-670551,8/30/2020,3/21/2021,5/19/2024,Congestive heart failure fluid balance check,69405669.29,Reopened,388-80-0916,CNT-CDP-9161-928
CLM-9162-406824,4/2/2015,4/2/2015,9/20/2018,Leukemia blood count monitoring,25932568.09,Approved,730-81-2906,CNT-CDP-7460-400
CLM-1748-757286,5/23/2013,4/6/2022,10/28/2016,Asthma inhaler refill and lung function test,12462793.78,Paid,452-30-6396,CNT-CDP-5503-729
CLM-1715-008915,10/25/2018,10/20/2020,10/16/2022,Alzheimer's disease cognitive assessment,47681500.55,In Review,320-32-7400,CNT-CDP-7295-758
CLM-5152-499253,5/21/2015,6/16/2019,4/19/2022,Celiac disease nutritional consultation,19757906.43,In Appeal,713-37-0954,CNT-CDP-2652-622
CLM-1202-816993,9/8/2015,7/16/2019,11/29/2015,Congestive heart failure fluid balance check,35081285.43,Closed,100-04-3565,CNT-CDP-6671-361
CLM-4192-436247,8/23/2018,10/10/2018,8/28/2022,Diabetic retinopathy eye exam,87843258.41,Denied,828-55-7081,CNT-CDP-9973-546
CLM-2062-894067,10/2/2010,11/11/2020,4/27/2024,Parkinson's disease tremor assessment,672513.51,Approved,770-47-1838,CNT-CDP-6525-498
CLM-1529-576470,2/14/2017,9/13/2021,10/28/2022,Alzheimer's disease cognitive assessment,31875211.26,In Appeal,242-39-5623,CNT-CDP-3480-324
CLM-7141-391079,9/20/2011,10/3/2013,12/3/2012,Chronic migraine Botox treatment,14580309.19,Approved,402-58-8375,CNT-CDP-5463-404
CLM-9567-878342,4/13/2011,1/21/2024,4/3/2018,Multiple sclerosis neurological exam,65965304.87,Pending Additional Information,783-30-3410,CNT-CDP-4475-174
CLM-3661-873180,4/6/2021,12/13/2021,5/15/2021,Graves' disease thyroid function test,73480400.78,Pending Additional Information,341-62-2387,CNT-CDP-6985-319
CLM-9712-462247,3/6/2011,10/30/2015,2/22/2024,Polycystic kidney disease ultrasound,46971159.22,Approved,334-77-2810,CNT-CDP-7561-398
CLM-1220-194917,1/14/2013,11/1/2016,10/1/2022,Atrial fibrillation anticoagulation check,16982185.13,Pending Additional Information,795-50-2363,CNT-CDP-1047-296
CLM-7109-767975,1/3/2021,12/23/2021,1/18/2022,Cystic fibrosis respiratory therapy,64150031.39,Partially Approved,866-54-2725,CNT-CDP-4963-721
CLM-3285-672988,5/1/2015,6/4/2018,7/11/2021,Gout uric acid level monitoring,16049714.63,Closed,647-78-9916,CNT-CDP-8780-023
CLM-0588-688507,3/9/2020,1/15/2024,5/29/2023,Crohn's disease nutritional counseling,2818547.1,Paid,376-04-2435,CNT-CDP-4289-140
CLM-1578-063991,1/15/2018,7/23/2022,9/12/2021,Breast cancer chemotherapy session,51526299.16,In Review,146-42-5456,CNT-CDP-0505-907
CLM-4844-117869,9/15/2013,5/2/2023,12/3/2020,Cystic fibrosis respiratory therapy,21956133.43,Pending Additional Information,733-94-3796,CNT-CDP-6924-543
CLM-9456-035631,9/7/2011,5/4/2019,8/2/2024,Sickle cell anemia pain management,48514823.33,Closed,629-89-3125,CNT-CDP-7073-735
CLM-2327-571407,5/5/2012,11/24/2012,7/10/2024,Prostate cancer PSA level check,86061043.44,Partially Approved,437-10-9861,CNT-CDP-0372-592
CLM-2676-729013,12/5/2017,12/26/2019,4/5/2020,Cirrhosis liver function tests,74300144.71,Denied,150-20-3111,CNT-CDP-2846-703
CLM-0118-092489,5/5/2013,9/19/2018,1/28/2020,Sleep apnea CPAP adjustment,17431520.21,Submitted,728-21-6512,CNT-CDP-7235-800
CLM-2970-245569,8/2/2012,12/11/2012,4/8/2013,Rheumatoid arthritis joint assessment,52669211.68,Closed,796-43-4400,CNT-CDP-3989-355
CLM-8500-063753,7/26/2020,2/18/2023,10/28/2023,Addison's disease hormone replacement,61238987.22,Closed,634-69-8704,CNT-CDP-0494-537
CLM-2783-789687,11/3/2012,2/26/2023,9/23/2020,Addison's disease hormone replacement,96321218.87,Paid,687-57-9133,CNT-CDP-8882-532
CLM-0779-621842,6/23/2010,2/17/2016,3/15/2022,Chronic depression therapy session,42921556.78,Reopened,364-08-8925,CNT-CDP-0958-753
CLM-6933-281814,2/20/2013,1/8/2015,5/22/2019,Ulcerative colitis colonoscopy,19788726.59,Partially Approved,471-93-8407,CNT-CDP-6805-890
CLM-5728-340117,7/22/2012,2/20/2018,6/20/2021,Rheumatoid arthritis joint assessment,77099849.51,Paid,873-10-9798,CNT-CDP-2198-359
CLM-9928-354166,8/14/2016,10/26/2021,7/15/2017,Graves' disease thyroid function test,94091911.47,Submitted,452-75-6714,CNT-CDP-0220-379
CLM-9503-346899,4/12/2019,6/28/2019,5/16/2023,Chronic migraine Botox treatment,43661948.49,Submitted,633-77-4190,CNT-CDP-0991-634
CLM-3632-402274,9/29/2010,7/31/2016,10/29/2017,Osteoarthritis joint injection,74633054.87,Closed,473-99-6739,CNT-CDP-3793-548
CLM-4763-671338,4/10/2020,6/15/2024,4/12/2023,Chronic fatigue syndrome assessment,27293997.18,In Appeal,155-59-3727,CNT-CDP-3311-950
CLM-6204-671452,9/2/2013,3/1/2022,2/23/2019,Congestive heart failure fluid balance check,41584246.56,Partially Approved,890-38-2781,CNT-CDP-9860-126
CLM-4278-356397,11/23/2011,4/27/2021,12/5/2012,Addison's disease hormone replacement,89300940.18,In Appeal,554-80-6065,CNT-CDP-6567-876
CLM-4117-516345,4/29/2019,3/28/2021,8/8/2022,Cystic fibrosis respiratory therapy,21539354.19,Denied,567-70-8719,CNT-CDP-5984-639
CLM-9271-578213,1/2/2017,4/5/2017,2/14/2022,Multiple sclerosis neurological exam,95621472.33,In Appeal,142-31-7650,CNT-CDP-4473-811
CLM-8771-735826,3/24/2010,6/19/2019,12/12/2020,Thyroid hormone level check for hypothyroidism,42675183.63,Approved,836-63-0684,CNT-CDP-9712-628
CLM-9048-298158,12/6/2013,5/24/2021,12/17/2013,Psoriasis phototherapy session,28391772.21,Closed,625-14-4166,CNT-CDP-7775-181
CLM-0452-869628,10/10/2020,2/6/2024,12/16/2022,Multiple sclerosis neurological exam,39652907.87,In Review,585-77-3872,CNT-CDP-3706-179
CLM-4168-213900,7/13/2012,12/12/2018,9/19/2016,Addison's disease hormone replacement,33799494.31,Partially Approved,143-18-3621,CNT-CDP-5333-521
CLM-4281-085862,5/10/2012,9/16/2012,11/9/2013,Atrial fibrillation anticoagulation check,14417452.54,Partially Approved,551-36-4996,CNT-CDP-3673-368
CLM-0027-608148,10/4/2014,7/22/2024,6/4/2015,Sleep apnea CPAP adjustment,64060175.11,Paid,460-86-8403,CNT-CDP-1031-556
CLM-0291-265220,12/31/2015,2/10/2018,3/23/2018,Endometriosis pain management,33787630.97,Reopened,431-65-2447,CNT-CDP-1813-013
CLM-3487-653674,3/17/2017,8/8/2020,7/25/2023,Sickle cell anemia pain management,4490873.26,Closed,890-87-2539,CNT-CDP-1592-484
CLM-5173-638678,11/26/2014,1/28/2015,1/3/2018,Glaucoma intraocular pressure check,80801816.48,In Appeal,782-77-9738,CNT-CDP-6795-840
CLM-2998-241472,7/27/2018,8/17/2024,4/7/2019,Crohn's disease nutritional counseling,16571236.28,Closed,883-93-9989,CNT-CDP-3722-698
CLM-3833-659720,10/25/2018,3/26/2023,9/17/2021,Parkinson's disease tremor assessment,11845329.31,Pending Additional Information,587-63-5112,CNT-CDP-8836-480
CLM-7933-249467,9/16/2013,4/12/2018,12/22/2016,Lupus flare-up management,3860894.01,In Appeal,217-77-7274,CNT-CDP-7379-491
CLM-5817-157162,9/11/2020,5/19/2022,4/11/2022,Chronic bronchitis pulmonary function test,34979389.74,Approved,179-15-2028,CNT-CDP-8738-058
CLM-4351-753118,9/30/2017,6/18/2022,8/28/2023,Breast cancer chemotherapy session,53873723.19,Reopened,356-10-1777,CNT-CDP-3721-916
CLM-1019-241031,12/11/2016,2/26/2020,12/22/2021,Leukemia blood count monitoring,35783622.02,Reopened,889-69-2394,CNT-CDP-0788-637
CLM-1600-174801,9/20/2015,7/5/2024,9/26/2022,Leukemia blood count monitoring,38513821.3,Approved,183-45-5306,CNT-CDP-3967-969
CLM-5205-139583,10/23/2017,1/30/2024,10/6/2019,Parkinson's disease tremor assessment,44291984.7,Denied,381-27-4270,CNT-CDP-6436-746
CLM-2934-861097,11/22/2018,12/3/2021,9/30/2021,Obesity management and counseling,74409707.84,Denied,452-43-7033,CNT-CDP-3272-397
CLM-2600-288051,4/17/2014,5/5/2015,11/20/2017,Gout uric acid level monitoring,86756148.39,Reopened,692-04-6939,CNT-CDP-5884-809
CLM-4542-056453,11/22/2018,5/26/2021,3/7/2021,Crohn's disease nutritional counseling,57638083.37,In Appeal,501-61-4188,CNT-CDP-9726-381
CLM-2452-212162,1/2/2014,12/14/2023,6/8/2019,Celiac disease nutritional consultation,42441302.94,Submitted,522-55-7648,CNT-CDP-3714-990
CLM-9915-841486,3/1/2021,7/1/2022,12/14/2023,Chronic fatigue syndrome assessment,94102890.13,Denied,394-80-6435,CNT-CDP-1272-413
CLM-3148-846766,1/21/2016,12/12/2016,9/14/2023,Crohn's disease nutritional counseling,84459930.67,Partially Approved,554-81-0844,CNT-CDP-3274-511
CLM-2141-348089,4/15/2015,9/8/2023,5/30/2021,Ulcerative colitis colonoscopy,16432512.95,Submitted,572-59-1674,CNT-CDP-4173-398
CLM-4231-423205,5/25/2012,8/11/2012,4/25/2021,Atrial fibrillation anticoagulation check,74893258.75,Reopened,578-43-3857,CNT-CDP-0005-227
CLM-5125-523814,11/23/2010,9/14/2020,4/4/2013,Chronic bronchitis pulmonary function test,1606810.66,In Appeal,140-02-6549,CNT-CDP-5587-142
CLM-5203-507285,9/19/2020,8/7/2024,8/29/2022,Ulcerative colitis colonoscopy,28455803.46,Paid,171-48-8021,CNT-CDP-5264-974
CLM-3881-837459,2/28/2019,12/2/2022,7/18/2023,Schizophrenia antipsychotic injection,17618973.83,In Review,109-80-4459,CNT-CDP-4581-349
CLM-9858-530886,11/8/2013,7/4/2021,12/17/2015,Addison's disease hormone replacement,86801043.14,In Review,291-05-6015,CNT-CDP-5554-477
CLM-0624-913859,4/28/2011,11/23/2021,2/2/2023,Sjogren's syndrome dry eye treatment,20439110.17,Denied,462-45-1232,CNT-CDP-3115-981
CLM-3460-777509,5/2/2013,1/11/2024,10/16/2013,Sickle cell anemia pain management,56060049.97,Approved,743-50-6452,CNT-CDP-8725-713
CLM-5745-530191,4/26/2012,4/26/2012,7/28/2024,Congestive heart failure fluid balance check,93379453.05,Partially Approved,803-31-9478,CNT-CDP-0202-625
CLM-9253-540228,3/3/2021,6/10/2022,7/2/2021,Routine diabetes management check-up,3471039.87,Partially Approved,370-97-3732,CNT-CDP-7893-229
CLM-3367-252091,1/10/2021,1/10/2023,6/7/2023,Thyroid hormone level check for hypothyroidism,74061165.9,Partially Approved,396-82-4298,CNT-CDP-5921-425
CLM-1134-331011,5/19/2012,3/4/2018,8/5/2021,Psoriasis phototherapy session,6116647.31,Approved,247-04-7859,CNT-CDP-9092-897
CLM-7227-598212,5/22/2010,3/1/2017,9/27/2015,Graves' disease thyroid function test,33017333.6,In Appeal,578-11-6607,CNT-CDP-8953-499
CLM-7136-950630,10/29/2010,9/5/2017,6/5/2017,Epilepsy medication level monitoring,63481893.57,Approved,471-63-5606,CNT-CDP-0873-808
CLM-8692-895654,4/6/2011,7/25/2024,2/13/2015,Osteoporosis bone density scan,30705222.85,Reopened,671-67-5328,CNT-CDP-8768-613
CLM-8855-835039,3/29/2021,1/29/2024,5/18/2024,Routine diabetes management check-up,550068.6,Paid,142-46-8550,CNT-CDP-8381-392
CLM-6211-878940,8/25/2021,6/8/2024,2/5/2023,Chronic bronchitis pulmonary function test,93445400.28,Paid,435-75-8159,CNT-CDP-0337-613
CLM-6995-502407,10/17/2010,7/10/2015,3/5/2021,Sleep apnea CPAP adjustment,79060068.71,In Review,434-02-1452,CNT-CDP-4822-371
CLM-6197-071863,5/23/2020,3/29/2022,7/22/2023,Leukemia blood count monitoring,76277698.74,Paid,403-19-8511,CNT-CDP-6447-362
CLM-1762-402804,1/24/2016,5/20/2023,4/20/2020,Routine diabetes management check-up,67284207.53,Submitted,160-23-2835,CNT-CDP-6686-333
CLM-8216-409927,9/8/2018,12/5/2023,10/14/2023,Peripheral artery disease circulation check,49739728.01,In Appeal,476-08-4474,CNT-CDP-3930-792
CLM-8953-243489,2/9/2020,9/20/2022,12/30/2020,Breast cancer chemotherapy session,56448416.28,Closed,486-69-6674,CNT-CDP-9737-633
CLM-4001-135888,10/15/2019,7/4/2020,4/4/2022,Breast cancer chemotherapy session,13340570.17,Pending Additional Information,240-14-0471,CNT-CDP-1970-191
CLM-8962-206722,10/24/2010,3/6/2024,1/15/2022,Chronic fatigue syndrome assessment,80864597.41,Paid,148-15-3480,CNT-CDP-5298-940
CLM-7861-427886,9/6/2017,8/11/2024,7/5/2020,Gout uric acid level monitoring,62215871.51,Closed,218-68-1916,CNT-CDP-3352-437
CLM-6036-143406,10/18/2019,11/3/2019,7/12/2023,Chronic depression therapy session,40699599.17,In Appeal,368-25-0159,CNT-CDP-3716-837
CLM-1572-567394,8/29/2016,2/5/2019,5/29/2018,Crohn's disease nutritional counseling,63638205.76,Denied,516-84-7821,CNT-CDP-0761-330
CLM-7225-406742,2/24/2010,11/3/2022,4/9/2018,HIV viral load testing,53786676.73,Paid,774-58-9477,CNT-CDP-2059-808
CLM-8990-283091,1/16/2021,8/9/2021,2/28/2022,Leukemia blood count monitoring,19817625.84,Paid,828-74-9684,CNT-CDP-2582-364
CLM-3738-237008,11/27/2015,2/17/2016,9/26/2021,Multiple sclerosis neurological exam,76514248.3,Denied,854-97-7755,CNT-CDP-6059-553
CLM-3165-775753,4/21/2018,12/19/2019,5/29/2022,IBS symptom management consultation,80194372.6,Denied,161-40-2547,CNT-CDP-8940-800
CLM-8871-004640,11/21/2012,3/21/2024,6/26/2022,Atrial fibrillation anticoagulation check,11425699.18,Reopened,141-54-9570,CNT-CDP-5265-729
CLM-6570-015456,10/29/2012,12/30/2015,9/4/2023,Cirrhosis liver function tests,95087215.55,In Review,189-20-5635,CNT-CDP-8374-398
CLM-1155-202056,2/19/2010,6/14/2010,5/30/2017,Anxiety disorder cognitive behavioral therapy,76740678.89,Reopened,330-12-8132,CNT-CDP-0441-012
CLM-6090-221124,7/31/2015,7/29/2021,3/14/2020,Colorectal cancer follow-up colonoscopy,46283886.26,In Review,108-43-2265,CNT-CDP-1731-897
CLM-6670-893934,2/14/2018,3/18/2022,8/20/2022,Multiple sclerosis neurological exam,25153749.32,Denied,188-46-1582,CNT-CDP-9630-827
CLM-6999-326848,12/2/2019,1/17/2023,6/18/2022,Schizophrenia antipsychotic injection,25194824.01,Submitted,686-37-9936,CNT-CDP-7628-757
CLM-8430-484681,1/14/2017,9/6/2017,2/21/2022,Ulcerative colitis colonoscopy,8136897.22,Pending Additional Information,362-30-7359,CNT-CDP-5239-433
CLM-2784-142602,8/2/2014,7/14/2017,11/15/2018,Obesity management and counseling,4596579.28,In Appeal,278-64-3429,CNT-CDP-2038-439
CLM-3543-141847,11/30/2017,12/7/2020,12/5/2017,Addison's disease hormone replacement,184986.11,Approved,630-65-1041,CNT-CDP-0034-578
CLM-0444-800973,1/26/2016,3/1/2020,10/3/2021,Chronic depression therapy session,74477626.88,In Appeal,463-51-7010,CNT-CDP-5199-683
CLM-5203-304537,4/16/2020,10/19/2023,11/10/2020,IBS symptom management consultation,38997336.13,Reopened,621-03-1953,CNT-CDP-7234-278
CLM-5859-511550,5/25/2021,4/17/2024,8/5/2024,Chronic depression therapy session,20869304.6,Pending Additional Information,722-67-2945,CNT-CDP-4470-928
CLM-4090-021751,7/19/2019,9/27/2021,10/29/2020,Anxiety disorder cognitive behavioral therapy,80727192.07,Partially Approved,803-17-9809,CNT-CDP-0111-389
CLM-5655-302725,2/25/2012,3/15/2024,7/5/2017,Sleep apnea CPAP adjustment,49118394.87,Reopened,574-78-8749,CNT-CDP-4365-728
CLM-2958-589372,11/17/2018,9/3/2019,8/30/2022,Congestive heart failure fluid balance check,4989356.24,Paid,349-49-7080,CNT-CDP-5917-016
CLM-9868-681757,12/1/2015,3/10/2021,10/8/2020,Breast cancer chemotherapy session,18907863.99,Reopened,301-39-4084,CNT-CDP-4569-288
CLM-4293-094895,2/15/2010,10/30/2014,11/28/2021,Graves' disease thyroid function test,18489515.94,Pending Additional Information,731-58-7495,CNT-CDP-4352-165
CLM-5476-333839,7/13/2014,10/20/2020,12/9/2023,Chronic depression therapy session,65228116.62,Submitted,210-16-6602,CNT-CDP-1405-757
CLM-8051-336143,7/26/2019,7/22/2020,5/1/2020,COPD exacerbation treatment,28885348.73,In Appeal,467-35-5646,CNT-CDP-0393-340
CLM-2222-200362,9/27/2021,1/21/2022,9/5/2022,Thyroid hormone level check for hypothyroidism,27530694.94,Paid,624-19-8358,CNT-CDP-6476-370
CLM-5993-965747,8/20/2010,4/6/2018,5/11/2014,Rheumatoid arthritis joint assessment,30477522.81,Closed,389-15-6435,CNT-CDP-5773-578
CLM-6078-353035,4/20/2016,11/17/2018,2/23/2022,Polycystic kidney disease ultrasound,61502000.01,Reopened,248-19-7905,CNT-CDP-9364-037
CLM-2585-688966,1/18/2015,5/17/2018,6/10/2018,Routine diabetes management check-up,44189461.9,In Appeal,181-20-5083,CNT-CDP-0226-497
CLM-1197-626345,10/12/2010,10/19/2011,4/29/2024,Gout uric acid level monitoring,37674711.72,Pending Additional Information,130-81-3547,CNT-CDP-8019-639
CLM-1033-727956,1/10/2013,12/22/2017,9/10/2022,Lupus flare-up management,59836501.19,In Appeal,701-39-9649,CNT-CDP-2327-965
CLM-4468-916401,7/4/2016,6/14/2021,2/19/2018,Fibromyalgia pain management session,20298813.4,Closed,492-96-7657,CNT-CDP-6192-370
CLM-1149-941333,11/3/2018,1/25/2023,10/31/2023,Colorectal cancer follow-up colonoscopy,29288356.39,Denied,183-50-7540,CNT-CDP-7041-635
CLM-5515-091723,10/4/2021,9/3/2022,6/8/2023,Parkinson's disease tremor assessment,47037543.68,In Appeal,719-80-4091,CNT-CDP-8495-917
CLM-8492-006595,1/14/2015,3/17/2018,4/20/2015,COPD exacerbation treatment,5437984.34,Approved,208-73-9153,CNT-CDP-7935-703
CLM-8821-144380,8/16/2013,8/9/2022,12/4/2015,Lupus flare-up management,15551582.5,Partially Approved,806-54-8196,CNT-CDP-7045-592
CLM-4329-994120,6/13/2017,11/15/2018,2/11/2022,Hepatitis C antiviral therapy follow-up,6186151.7,Closed,100-52-8295,CNT-CDP-7807-154
CLM-2620-294966,7/18/2010,11/6/2017,1/4/2012,Diabetic retinopathy eye exam,69919300.76,In Appeal,209-01-7709,CNT-CDP-8958-285
CLM-9445-001392,11/16/2013,6/4/2023,10/13/2020,Bipolar disorder medication adjustment,11353726.32,Paid,673-16-1871,CNT-CDP-7012-459
CLM-5688-983205,8/4/2014,9/15/2016,5/7/2020,Cystic fibrosis respiratory therapy,3834145.94,In Review,819-28-6782,CNT-CDP-9033-520
CLM-9246-256414,3/29/2021,8/16/2024,8/17/2023,Chronic kidney disease dialysis session,42596162.48,Closed,838-54-9166,CNT-CDP-8625-924
CLM-9985-792088,9/11/2014,1/28/2017,4/26/2017,Osteoporosis bone density scan,91849067.57,Reopened,201-81-8638,CNT-CDP-3225-709
CLM-7192-908871,2/15/2010,8/5/2023,10/14/2021,Schizophrenia antipsychotic injection,98107118.0,In Review,124-17-3362,CNT-CDP-3943-107
CLM-6201-730078,4/1/2013,11/21/2013,4/10/2014,Asthma inhaler refill and lung function test,62145986.8,Pending Additional Information,124-13-5660,CNT-CDP-4605-615
CLM-6002-662514,11/20/2017,6/11/2020,6/28/2023,Breast cancer chemotherapy session,1120807.06,In Review,884-06-7181,CNT-CDP-0848-075
CLM-1738-366531,12/10/2013,11/12/2014,1/29/2022,Epilepsy medication level monitoring,37721363.98,Closed,831-12-0918,CNT-CDP-4602-854
CLM-4541-940365,9/18/2016,11/2/2018,6/24/2021,Anxiety disorder cognitive behavioral therapy,55120628.95,Submitted,886-33-6141,CNT-CDP-5796-269
CLM-2726-640638,10/30/2020,2/22/2023,3/23/2023,Obesity management and counseling,40230729.09,Reopened,641-15-4718,CNT-CDP-4736-380
CLM-2646-917473,12/15/2021,7/12/2023,11/6/2022,Endometriosis pain management,60534720.46,Denied,305-83-6523,CNT-CDP-4580-607
